Episode,Action Sequence
1,"[3, 0, 3, 3, 3, 0, 1, 1, 1, 0, 0, 2, 3, 2, 1, 3, 1, 3, 0, 1, 3, 0, 2, 2, 1, 1, 2, 1, 0, 0, 2, 3, 3, 0, 2, 2, 2, 3, 0, 0, 1, 0, 1, 2, 1, 0, 3, 3, 1, 3, 1, 1, 0, 2, 0, 2, 2, 0, 2, 2, 3, 1, 3, 2, 0, 1, 3, 0, 3, 2, 1, 0, 2, 0, 0, 3, 3, 0, 1, 2, 1, 1, 2, 2, 3, 3, 1, 3, 2, 1, 1, 1, 3, 0, 3, 1]"
2,"[0, 1, 1, 0, 1, 3, 1, 2, 3, 2, 2, 2, 1, 2, 3, 3, 0, 1, 3, 3]"
3,"[3, 3, 2, 2, 3, 1, 3, 1, 1, 3, 1, 3]"
4,"[0, 2, 1, 1, 1, 0, 0, 3, 3, 3, 2, 3, 3, 2, 3, 0, 3, 2, 1, 3, 1, 3, 3, 2, 3, 3, 3, 2, 1, 3, 3, 1]"
5,"[1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 1, 3]"
6,"[0, 1, 3, 2, 1, 3, 2, 1, 3, 0, 0, 2, 1, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1]"
7,"[1, 1, 3, 1, 1, 3, 1, 0, 1, 3, 1, 1, 1, 1, 1, 3]"
8,"[1, 0, 3, 2, 3, 1, 0, 1, 0, 3, 1, 1, 3, 3, 0, 1, 1, 3, 3, 3, 3, 1]"
9,"[3, 0, 2, 1, 2, 3, 2, 3, 2, 3, 0, 0, 2, 1, 2, 3, 1, 0, 1, 3, 1, 1, 3, 1, 1, 1, 3]"
10,"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 3, 3, 1, 3, 3, 3, 3, 1]"
11,"[1, 2, 1, 3, 3, 1, 3, 1, 1, 3]"
12,"[1, 1, 3, 3, 3, 1, 3, 3, 3, 1]"
13,"[1, 1, 2, 3, 3, 1, 3, 1, 1, 1, 3]"
14,"[0, 2, 0, 0, 1, 1, 3, 3, 3, 1, 3, 3, 1]"
15,"[1, 0, 1, 3, 1, 3, 1, 1, 3, 1, 1, 1, 3]"
16,"[2, 3, 1, 3, 1, 3, 1, 3, 3, 3, 3, 1]"
17,"[1, 3, 1, 3, 1, 3, 1, 1, 1, 3]"
18,"[1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 1]"
19,"[2, 1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 1, 3]"
20,"[3, 1, 3, 1, 1, 3, 3, 1]"
21,"[1, 1, 3, 3, 1, 3, 1, 1, 3]"
22,"[1, 3, 1, 3, 3, 1, 3, 1]"
23,"[1, 3, 1, 3, 1, 3, 1, 3]"
24,"[1, 3, 3, 1, 1, 3, 3, 3, 3, 1]"
25,"[1, 1, 3, 3, 1, 3, 1, 3]"
26,"[3, 1, 1, 3, 1, 3, 3, 1]"
27,"[1, 1, 3, 3, 1, 3, 1, 3]"
28,"[1, 3, 1, 3, 1, 3, 3, 3, 1]"
29,"[3, 1, 1, 3, 1, 3, 1, 1, 3]"
30,"[1, 1, 3, 3, 3, 1, 3, 1]"
31,"[1, 3, 1, 3, 1, 3, 1, 3]"
32,"[3, 1, 1, 3, 3, 1, 3, 1]"
33,"[1, 1, 3, 3, 1, 3, 1, 3]"
34,"[3, 1, 1, 3, 1, 3, 3, 3, 1]"
35,"[3, 1, 1, 3, 1, 3, 1, 3]"
36,"[1, 1, 3, 3, 3, 1, 3, 1]"
37,"[1, 3, 1, 3, 1, 3, 1, 3]"
38,"[3, 1, 1, 3, 1, 3, 3, 1]"
39,"[1, 3, 1, 3, 1, 3, 1, 3]"
40,"[3, 1, 1, 3, 3, 1, 1, 3]"
41,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1)]"
42,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]"
43,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1)]"
44,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]"
45,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1)]"
46,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]"
47,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1)]"
48,"[np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]"
49,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1)]"
50,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]"
51,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1)]"
52,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]"
53,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1)]"
54,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]"
55,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1)]"
56,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]"
57,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1)]"
58,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]"
59,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1)]"
60,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]"
