Episode,Weights
11,"[[[-2.64214036 -1.93436201 -3.14148877 -2.01467013]
  [-1.66004474 -1.11396348 -1.75309854 -1.48077214]
  [-1.02610874 -0.5220466  -1.6242824  -0.66385527]
  [-0.95900377 -0.31421956 -0.87283891  0.10260983]
  [-0.36493234  0.          0.          0.        ]]

 [[-1.85213865 -1.41538875 -1.63129748 -1.94669515]
  [-1.59419051 -0.84822227 -1.30463398 -1.14941178]
  [-0.64423576 -0.74116852 -0.49724794 -0.44460396]
  [-0.32701328 -0.32273595 -0.54277751  0.49706248]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.02351377 -0.97043559]
  [-0.88334991 -0.5213209  -0.89804137 -0.33062154]
  [-0.51932422  0.47628808 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          3.02795209]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698 -0.2762942 ]
  [-0.52522173 -0.27700275 -0.3889018   0.7819829 ]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958  7.41902413 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 13.90736719]]

 [[-0.97579535  1.24116618 -0.62089751 -0.57028136]
  [-0.42940388  4.65221343 -0.27293012  0.        ]
  [ 0.          8.89876912  0.          0.        ]
  [ 0.         15.57126211  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
12,"[[[-2.64214036 -1.9652082  -3.14148877 -2.37256248]
  [-1.66004474 -1.11396348 -1.75309854 -1.52658418]
  [-1.02610874 -0.5220466  -1.6242824  -0.66385527]
  [-0.95900377 -0.31421956 -0.87283891  0.10260983]
  [-0.36493234  0.          0.          0.        ]]

 [[-2.56106173 -1.41538875 -1.81162252 -2.04817603]
  [-1.59419051 -0.84822227 -1.30463398 -1.15700701]
  [-0.64423576 -0.74116852 -0.49724794 -0.44460396]
  [-0.32701328 -0.32273595 -0.54277751  0.49706248]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991 -0.5213209  -0.89804137 -0.29811729]
  [-0.51932422  0.47628808 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          3.02795209]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   0.7819829 ]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958  7.41902413 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 13.90736719]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  5.56990042 -0.27293012  0.        ]
  [ 0.         10.15251395  0.          0.        ]
  [ 0.         16.98557279  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
13,"[[[-2.64214036 -2.06460469 -3.69629606 -2.37340758]
  [-2.08420498 -1.32239158 -1.75309854 -1.52658418]
  [-1.37065614 -0.5220466  -1.6242824  -0.66385527]
  [-0.95900377 -0.31421956 -0.87283891  0.10260983]
  [-0.36493234  0.          0.          0.        ]]

 [[-2.56106173 -1.45017096 -1.81162252 -2.04817603]
  [-1.59419051 -0.8095123  -1.30463398 -1.15700701]
  [-0.64423576 -0.74116852 -0.49724794 -0.17460805]
  [-0.32701328 -0.32273595 -0.54277751  0.49706248]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991 -0.5213209  -0.89804137 -0.29811729]
  [-0.51932422  1.11852457 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          4.03885468]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   0.7819829 ]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958  8.78241779 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 15.57126211]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  5.56990042 -0.27293012  0.        ]
  [ 0.         10.15251395  0.          0.        ]
  [ 0.         16.98557279  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
14,"[[[-2.64214036 -2.06460469 -3.69629606 -2.40359347]
  [-2.08420498 -1.32239158 -1.75309854 -1.52658418]
  [-1.37065614 -0.46788558 -1.6242824  -0.66385527]
  [-0.95900377 -0.31421956 -0.87283891  0.35150251]
  [-0.36493234  0.          0.          0.        ]]

 [[-2.56106173 -1.54000196 -1.81162252 -2.04817603]
  [-1.59419051 -0.91634003 -1.30463398 -1.15700701]
  [-0.64423576 -0.74116852 -0.61876458 -0.17460805]
  [-0.32701328 -0.32273595 -0.54277751  1.26857518]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991 -0.5213209  -0.89804137 -0.29811729]
  [-0.51932422  1.11852457 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          5.04069177]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   0.7819829 ]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 10.05361532 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 16.98557279]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  5.56990042 -0.27293012  0.        ]
  [ 0.         10.15251395  0.          0.        ]
  [ 0.         16.98557279  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
15,"[[[-2.64214036 -2.06097485 -3.69629606 -2.40359347]
  [-2.08420498 -1.27247603 -1.75309854 -1.52658418]
  [-1.37065614 -0.46788558 -1.6242824  -0.52003001]
  [-0.95900377 -0.31421956 -0.87283891  0.35150251]
  [-0.36493234  0.          0.          0.        ]]

 [[-2.56106173 -1.54000196 -1.81162252 -2.04817603]
  [-1.59419051 -0.91634003 -1.30463398 -1.15700701]
  [-0.64423576 -0.25712617 -0.61876458 -0.17460805]
  [-0.32701328 -0.32273595 -0.54277751  2.04992946]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991 -0.5213209  -0.89804137 -0.29811729]
  [-0.51932422  1.11852457 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          6.02101881]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   0.7819829 ]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 11.22959918 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 18.18773687]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  5.56990042 -0.27293012  0.        ]
  [ 0.         10.15251395  0.          0.        ]
  [ 0.         16.98557279  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
16,"[[[-2.64214036 -2.06097485 -3.69629606 -2.67724686]
  [-2.08420498 -1.27247603 -1.75309854 -1.52658418]
  [-1.37065614 -0.46788558 -1.6242824  -0.52003001]
  [-0.95900377 -0.31421956 -0.87283891  0.35150251]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.58339513 -1.81162252 -2.04817603]
  [-1.69801284 -0.91634003 -1.30463398 -0.992727  ]
  [-0.64423576 -0.25712617 -0.61876458 -0.17460805]
  [-0.32701328 -0.32273595 -0.54277751  2.04992946]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991 -0.5213209  -0.89804137  0.10404893]
  [-0.51932422  1.11852457 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          6.02101881]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   1.67505165]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 11.22959918 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 18.18773687]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  6.47752182 -0.27293012  0.        ]
  [ 0.         11.31366302  0.          0.        ]
  [ 0.         18.18773687  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
17,"[[[-2.64214036 -2.06097485 -3.69629606 -2.60805073]
  [-2.08420498 -1.27247603 -1.75309854 -1.52658418]
  [-1.37065614 -0.46788558 -1.6242824  -0.52003001]
  [-0.95900377 -0.31421956 -0.87283891  0.35150251]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.51368969 -1.81162252 -2.04817603]
  [-1.69801284 -0.91634003 -1.30463398 -0.75738904]
  [-0.64423576 -0.25712617 -0.61876458 -0.17460805]
  [-0.32701328 -0.32273595 -0.54277751  2.04992946]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991 -0.02713801 -0.89804137  0.10404893]
  [-0.51932422  2.04071111 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          6.97019144]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   1.67505165]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 12.31033154 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 19.20957634]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  6.47752182 -0.27293012  0.        ]
  [ 0.         11.31366302  0.          0.        ]
  [ 0.         18.18773687  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
18,"[[[-2.64214036 -2.04682145 -3.69629606 -2.60805073]
  [-2.08420498 -1.21293951 -1.75309854 -1.52658418]
  [-1.37065614 -0.28604187 -1.6242824  -0.52003001]
  [-0.95900377 -0.31421956 -0.87283891  0.82752037]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.51368969 -1.81162252 -2.04817603]
  [-1.69801284 -0.91634003 -1.30463398 -0.75738904]
  [-0.64423576 -0.25712617 -0.61876458 -0.17460805]
  [-0.32701328 -0.32273595 -0.54277751  2.94326893]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991 -0.02713801 -0.89804137  0.10404893]
  [-0.51932422  2.04071111 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          7.88097599]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   1.67505165]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 13.29792822 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 20.07813989]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  6.47752182 -0.27293012  0.        ]
  [ 0.         11.31366302  0.          0.        ]
  [ 0.         18.18773687  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
19,"[[[-2.64214036 -2.01580299 -3.69629606 -2.60805073]
  [-2.08420498 -1.21293951 -1.75309854 -1.4427129 ]
  [-1.37065614 -0.28604187 -1.6242824  -0.52003001]
  [-0.95900377 -0.31421956 -0.87283891  0.82752037]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.51368969 -1.81162252 -2.04817603]
  [-1.69801284 -0.91634003 -1.30463398 -0.51931976]
  [-0.64423576 -0.25712617 -0.61876458 -0.17460805]
  [-0.32701328 -0.32273595 -0.54277751  2.94326893]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.10404893]
  [-0.51932422  3.03878172 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          8.74818824]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   1.67505165]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 14.19601343 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 20.81641891]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  6.47752182 -0.27293012  0.        ]
  [ 0.         11.31366302  0.          0.        ]
  [ 0.         18.18773687  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
20,"[[[-4.22354387 -2.29822052 -3.69629606 -2.60805073]
  [-2.08420498 -1.10523194 -2.35541218 -1.4427129 ]
  [-1.37065614 -0.031859   -1.6242824  -0.52003001]
  [-0.95900377 -0.31421956 -0.87283891  1.38210112]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.51368969 -1.81162252 -2.04817603]
  [-1.69801284 -0.91634003 -1.30463398 -0.51931976]
  [-0.64423576 -0.25712617 -0.61876458 -0.17460805]
  [-0.32701328 -0.32273595 -0.54277751  3.90186338]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.10404893]
  [-0.51932422  3.03878172 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          9.56836464]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   1.67505165]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 15.00921969 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 21.44395607]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  6.47752182 -0.27293012  0.        ]
  [ 0.         11.31366302  0.          0.        ]
  [ 0.         18.18773687  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
21,"[[[-4.22354387 -2.19842214 -3.69629606 -2.60805073]
  [-2.08420498 -0.98462835 -2.35541218 -1.4427129 ]
  [-1.37065614 -0.031859   -1.6242824  -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  1.38210112]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.51368969 -1.81162252 -2.04817603]
  [-1.69801284 -0.91634003 -1.30463398 -0.51931976]
  [-0.64423576 -0.25712617 -0.61876458  0.57662739]
  [-0.32701328 -0.32273595 -0.54277751  3.90186338]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.10404893]
  [-0.51932422  4.07168994 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         10.33946743]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   1.67505165]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 15.74280377 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 21.97736266]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  6.47752182 -0.27293012  0.        ]
  [ 0.         11.31366302  0.          0.        ]
  [ 0.         18.18773687  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
22,"[[[-4.22354387 -2.19842214 -3.69629606 -2.48695518]
  [-2.08420498 -0.98462835 -2.35541218 -1.4427129 ]
  [-1.37065614 -0.031859   -1.6242824  -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  1.38210112]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.32649847 -1.81162252 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.51931976]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751  3.90186338]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.10404893]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         11.06062396]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   1.67505165]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 16.40235518 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 22.43075826]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  6.47752182 -0.27293012  0.        ]
  [ 0.         11.31366302  0.          0.        ]
  [ 0.         18.18773687  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
23,"[[[-4.22354387 -2.09770084 -3.69629606 -2.49882054]
  [-2.21737744 -0.84172055 -2.35541218 -1.4427129 ]
  [-1.37065614  0.30039549 -1.6242824  -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  2.02852776]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.32649847 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.51931976]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751  4.96184171]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.10404893]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         11.73189863]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   1.67505165]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 16.99357809 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 22.81614452]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  6.47752182 -0.27293012  0.        ]
  [ 0.         11.31366302  0.          0.        ]
  [ 0.         18.18773687  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
24,"[[[-4.22354387 -1.96375736 -3.69629606 -2.49882054]
  [-2.21737744 -0.65745249 -2.35541218 -1.4427129 ]
  [-1.37065614  0.67252122 -1.6242824  -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  2.68038067]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.32649847 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.51931976]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751  5.93136047]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.10404893]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         12.35409574]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   1.67505165]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 17.52213113 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 23.14372284]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  6.47752182 -0.27293012  0.        ]
  [ 0.         11.31366302  0.          0.        ]
  [ 0.         18.18773687  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
25,"[[[-4.22354387 -1.80872638 -3.69629606 -2.49882054]
  [-2.21737744 -0.43695591 -2.35541218 -1.4427129 ]
  [-1.37065614  1.07493976 -1.6242824  -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  3.32803697]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.32649847 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.51931976]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751  6.81798211]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.10404893]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         12.92859082]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   1.67505165]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 17.99351275 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 23.42216442]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  6.47752182 -0.27293012  0.        ]
  [ 0.         11.31366302  0.          0.        ]
  [ 0.         18.18773687  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
26,"[[[-4.22354387 -1.75360298 -3.69629606 -2.49882054]
  [-2.21737744 -0.45294814 -2.35541218 -1.4427129 ]
  [-1.37065614  1.49916623 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  3.96399794]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.32649847 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.51931976]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751  7.62851308]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.10404893]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         13.45718755]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   1.67505165]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 18.41298194 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 23.65883975]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  6.47752182 -0.27293012  0.        ]
  [ 0.         11.31366302  0.          0.        ]
  [ 0.         18.18773687  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
27,"[[[-4.22354387 -1.75360298 -3.69629606 -2.42061712]
  [-2.21737744 -0.45294814 -2.35541218 -1.4427129 ]
  [-1.37065614  1.49916623 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  3.96399794]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751  7.62851308]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         13.45718755]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 18.41298194 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 23.65883975]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
28,"[[[-4.22354387 -1.55874564 -3.69629606 -2.42061712]
  [-2.21737744 -0.13524838 -2.35541218 -1.4427129 ]
  [-1.37065614  1.93776645 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  4.58252114]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751  8.36912112]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         13.94199795]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 18.78550633 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 23.86001379]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
29,"[[[-4.22354387 -1.34342113 -3.69629606 -2.42061712]
  [-2.21737744  0.19757649 -2.35541218 -1.4427129 ]
  [-1.37065614  2.38429789 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  5.17931236]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751  9.04542788]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         14.38534286]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 19.11573131 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.03101172]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
