Episode,Action Sequence,Total Reward,Steps Taken,Weights
1,"[2, 3, 2, 0, 3, 2, 1, 2, 1, 0, 3, 3, 2, 0, 3, 1, 3, 1, 0, 1, 3, 3, 0, 1, 0, 0, 1, 2, 3, 2, 2, 1, 2, 1, 3, 2, 1, 3, 3, 1, 3]",-35,41,"[[-0.19293689 -0.43553966 -0.26390293 -0.08083418 -0.20146003 -0.39662964
  -0.02031142 -0.27000673 -0.16479976]
 [-0.53366472 -0.38711568 -0.52374268 -0.26823609 -0.3782722  -0.25823762
  -0.50772332 -0.23155405 -0.38584363]
 [-0.15974019 -0.9314828  -0.47214188 -0.17699064 -0.360588   -0.30338917
  -0.08875006 -0.57344509 -0.41970272]
 [ 1.89058273 -0.49942884 -0.42071041 -0.00367952 -0.08435815 -0.50900708
   2.05721115 -0.26001018 -0.26808991]]"
2,"[1, 1, 3, 2, 1, 0, 0, 3, 0, 3, 3, 2, 3, 0, 3, 0, 2, 3, 2, 2, 2, 3, 1, 3, 0, 3, 3, 1, 0, 0, 3, 3, 2, 2, 1, 0, 3, 2, 2, 2, 0, 0, 0, 3, 2, 1, 0, 3, 2, 2, 2, 3, 3, 1, 1, 3, 3, 1, 3, 0, 0, 1, 2, 3, 1, 3, 3, 0, 1, 1]",-100,70,"[[-0.42104714 -1.45471958 -1.36281605 -0.2662814  -0.44475505 -0.90374738
  -0.0642538  -0.81817282 -1.16274928]
 [ 1.7710555  -0.78588216 -0.56230829 -0.260147   -0.15068427  1.88751087
  -0.19249424 -0.42408428 -0.99161526]
 [-0.24740142 -1.55864412 -1.14752865 -0.19953501 -0.49359445 -0.6357585
  -0.09407599 -0.7804609  -1.12970912]
 [ 0.33653133 -1.29468375 -1.83553017 -0.16208964 -0.70490975 -2.33041771
   1.83734114 -0.62871918 -1.2394547 ]]"
3,"[2, 2, 0, 0, 1, 1, 2, 3, 1, 3, 1, 3, 3]",-7,13,"[[-0.42121588 -1.95772152 -1.37202885 -0.27549421 -0.46979804 -0.90380945
  -0.06431588 -1.00321689 -1.34779336]
 [ 1.75740509 -0.94819035 -0.56794719 -0.29355714 -0.18631478  1.88565799
  -0.20612969 -0.54179521 -1.02998771]
 [-0.25161897 -2.2797505  -1.16073618 -0.42980581 -0.59983062 -0.63602183
  -0.10514627 -1.56544587 -1.32465494]
 [ 2.50994132 -1.33596961 -1.796837   -0.01541221 -0.45644809 -2.02770796
   3.83860406 -0.75062945 -1.24102808]]"
4,"[3, 3, 2, 1, 1, 1, 3, 3, 1, 3]",16,10,"[[-0.42121588 -1.95772152 -1.37202885 -0.27549421 -0.46979804 -0.90380945
  -0.06431588 -1.00321689 -1.34779336]
 [ 1.75422951 -0.99135341 -0.57609862 -0.19090303 -0.11145638  1.88074999
  -0.19753331 -0.46065772 -1.14109002]
 [-0.25107034 -2.24979606 -1.13078173 -0.42925718 -0.58881099 -0.63453049
  -0.10511896 -1.56395452 -1.24323031]
 [ 4.42066806 -1.46338618 -1.78605399  0.21522619 -0.30218437 -1.77047977
   5.7745225  -0.76146142 -1.32033337]]"
5,"[2, 3, 1, 3, 1, 1, 3, 3, 1]",13,9,"[[-0.42121588 -1.95772152 -1.37202885 -0.27549421 -0.46979804 -0.90380945
  -0.06431588 -1.00321689 -1.34779336]
 [ 4.19075448 -0.7728186   0.02358736  0.08414029  0.87352169  4.17553392
   0.1843581  -0.37893864 -1.06429625]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [ 3.66110583 -1.55836967 -1.88835358 -0.01766475 -0.67573342 -2.01478567
   5.39962524 -0.80932434 -1.35052267]]"
6,"[1, 1, 1, 1, 3, 3, 3, 3]",18,8,"[[-0.42121588 -1.95772152 -1.37202885 -0.27549421 -0.46979804 -0.90380945
  -0.06431588 -1.00321689 -1.34779336]
 [ 4.18971744 -0.93548038  0.0206081   0.02751995  0.84828913  4.17547137
   0.18036041 -0.56538339 -1.0985622 ]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [ 5.51239415 -1.55249376 -1.85444605  0.30314947 -0.4439213  -1.75246864
   7.11249797 -0.76467302 -1.34994807]]"
7,"[3, 1, 1, 1, 3, 3, 3, 1]",18,8,"[[-0.42121588 -1.95772152 -1.37202885 -0.27549421 -0.46979804 -0.90380945
  -0.06431588 -1.00321689 -1.34779336]
 [ 6.21407178 -0.82777994  0.30554582  0.22432046  1.27490667  6.18100543
   0.47301703 -0.40912789 -1.13965182]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [ 4.89662334 -1.60261318 -1.93899272  0.42142729 -0.67042781 -1.95338204
   6.88928371 -0.68287995 -1.37842329]]"
8,"[1, 1, 1, 3, 3, 3, 1, 3]",18,8,"[[-0.42121588 -1.95772152 -1.37202885 -0.27549421 -0.46979804 -0.90380945
  -0.06431588 -1.00321689 -1.34779336]
 [ 5.65110429 -0.97288296  0.22693775  0.12791943  1.05258252  5.97399973
   0.26534814 -0.52638874 -1.17549921]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [ 6.83501071 -1.5394052  -1.89516813  1.10698219 -0.26659786 -1.69460032
   8.90767866 -0.45178935 -1.37502899]]"
9,"[1, 1, 1, 3, 3, 3, 3, 1]",18,8,"[[-0.42121588 -1.95772152 -1.37202885 -0.27549421 -0.46979804 -0.90380945
  -0.06431588 -1.00321689 -1.34779336]
 [ 7.53068386 -1.03949704  0.47992357  0.19550727  1.31244744  7.85298551
   0.52152825 -0.48457388 -1.19985687]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [ 6.11208787 -1.49960399 -1.99300509  1.40107555 -0.53101519 -1.92275346
   8.64326134 -0.13436665 -1.37987197]]"
10,"[1, 3, 1, 3, 1, 3, 1, 3]",18,8,"[[-0.42121588 -1.95772152 -1.37202885 -0.27549421 -0.46979804 -0.90380945
  -0.06431588 -1.00321689 -1.34779336]
 [ 6.99910116 -0.89632552  0.54042333  0.25600704  1.47690285  7.65742717
   0.3259699  -0.43190402 -1.14718701]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [ 7.91103403 -1.29400482 -1.92479795  1.90506198 -0.02702876 -1.67929258
  10.44220749  0.07123252 -1.35204714]]"
