Episode,Action Sequence,Total Reward,Steps Taken,Weights
11,"[1, 1, 3, 3, 1, 3, 3, 1]",18,8,"[[-0.42121588 -1.95772152 -1.37202885 -0.27549421 -0.46979804 -0.90380945
  -0.06431588 -1.00321689 -1.34779336]
 [ 9.00929291 -0.65389849  1.05182835  0.56724081  2.46603888  9.49206973
   0.66263041 -0.32986337 -1.0603856 ]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [ 7.18074975 -1.18076287 -2.00483123  1.72876555 -0.31398692 -1.89031643
  10.01682298  0.18589402 -1.338569  ]]"
12,"[3, 1, 1, 1, 3, 3, 1, 3]",18,8,"[[-0.42121588 -1.95772152 -1.37202885 -0.27549421 -0.46979804 -0.90380945
  -0.06431588 -1.00321689 -1.34779336]
 [ 8.21238075 -0.36316436  0.98139182  0.67276728  2.40429777  9.19251744
   0.38679096 -0.09318303 -1.00519167]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [ 8.93168913 -1.17800357 -1.96445885  2.38097002  0.08270374 -1.65800295
  11.86108785  0.3193842  -1.35660664]]"
13,"[3, 3, 0, 1, 1, 1, 3, 1, 3]",13,9,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [ 7.93151063  0.14935193  1.43329804  0.83974836  3.02990694  9.11242919
   0.2758325   0.01378116 -0.45884026]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [10.2264905  -1.21289232 -1.96280202  2.35745052  0.0625716  -1.4826837
  13.15580898  0.2794322  -1.33629892]]"
14,"[1, 1, 3, 3, 3, 1, 3, 1]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [ 9.63315003  0.06887116  1.65376984  0.86301513  3.2439155  10.81417292
   0.50602519 -0.04486806 -0.47615574]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [ 9.51824726 -0.58082915 -1.77672407  2.86848047  0.78603777 -1.75356948
  12.9247171   0.83084961 -1.19386279]]"
15,"[3, 1, 1, 3, 1, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [ 9.14507492  0.43262417  1.80319121  1.0091813   3.64361608 10.63466371
   0.32645636  0.08248039 -0.32475444]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [10.76535145 -0.32574111 -1.74098905  3.13632591  1.05286195 -1.58479481
  14.17182817  1.10645018 -1.16688651]]"
16,"[1, 1, 3, 1, 3, 3, 3, 1]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.75285426  0.85931345  2.06743344  1.43941864  4.25478161 12.19617358
   0.59031915  0.52495989 -0.27071148]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [ 9.655932   -0.27078374 -1.89048316  3.28038808  0.59642214 -1.92398207
  13.70234311  1.38542685 -1.17348102]]"
17,"[1, 3, 1, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [ 9.90721392  1.17586675  1.99496611  1.57778645  4.21192782 11.87740606
   0.30008507  0.79554618 -0.21096033]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [10.96319358 -0.13056029 -1.87778119  3.80935174  0.80729626 -1.75288946
  15.1266233   1.64266891 -1.16032985]]"
18,"[1, 1, 3, 3, 1, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [ 9.55331162  1.45635455  2.1735035   1.7604789   4.70028036 11.74719221
   0.16994733  0.92117682 -0.11603166]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [11.91246489  0.18049808 -1.86621653  3.9358337   0.90378289 -1.62449391
  16.07738799  2.03526303 -1.1222921 ]]"
19,"[1, 1, 3, 1, 3, 3, 3, 1]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [11.10916737  1.86573183  2.42583437  2.14369959  5.2601154  13.26219613
   0.42136101  1.32576628 -0.05682324]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [10.61625618  0.23387671 -2.04087867  4.02339253  0.34733098 -2.01890272
  15.50565848  2.32962704 -1.13041628]]"
20,"[3, 1, 1, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.29010839  2.28538114  2.37033608  2.22254288  5.18384742 12.9555589
   0.13510524  1.55473864  0.15794042]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [11.71416411  0.29392566 -2.04363025  4.44084664  0.44343201 -1.87621487
  16.72206012  2.49290688 -1.12257248]]"
21,"[1, 1, 3, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [ 9.78962173  2.59299593  2.33559419  2.42765709  5.26475803 12.76276436
  -0.02543029  1.85131522  0.20363229]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [12.50600416  0.39280876 -2.07883008  4.7436511   0.33472504 -1.7756924
  17.64729678  2.87610556 -1.12334535]]"
22,"[3, 1, 1, 1, 3, 3, 3, 1]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [11.2926893   3.10336252  2.60245033  2.73518327  5.77719694 14.23359844
   0.20985247  2.1659686   0.44828001]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [11.13247487  0.4353503  -2.26383833  4.70349015 -0.30591073 -2.18521703
  17.00427239  3.04081062 -1.11742935]]"
23,"[1, 1, 3, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.50907767  3.26631237  2.51479795  2.77688613  5.63349932 13.94051355
  -0.06534644  2.30532701  0.47901167]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [12.08338815  0.59337309 -2.27572022  5.12956999 -0.2555042  -2.06201999
  18.06555718  3.54268063 -1.11316243]]"
24,"[1, 1, 1, 3, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.01379924  3.3167962   2.44888578  2.69949664  5.45141901 13.75838091
  -0.24811286  2.30237871  0.49800707]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [12.73637865  0.64597288 -2.32322553  5.65411075 -0.4415851  -1.98009196
  18.88348611  4.11897601 -1.11905932]]"
25,"[1, 1, 3, 1, 3, 3, 3, 1]",18,8,"[[-4.23770080e-01 -2.09717607e+00 -1.51148340e+00 -2.78048405e-01
  -5.21100503e-01 -9.10752485e-01 -6.44430415e-02 -1.01015993e+00
  -1.72687013e+00]
 [ 1.14703577e+01  3.77771451e+00  2.68606675e+00  3.05852548e+00
   5.97753641e+00  1.51771625e+01 -1.32197065e-02  2.72500372e+00
   5.76387065e-01]
 [-2.51149950e-01 -2.48711272e+00 -1.13512834e+00 -4.33603782e-01
  -6.00626291e-01 -6.34559774e-01 -1.05148244e-01 -1.65125845e+00
  -1.33053423e+00]
 [ 1.13523125e+01  6.72772156e-01 -2.50969288e+00  5.51097903e+00
  -1.13959707e+00 -2.37570764e+00  1.81684891e+01  4.36486162e+00
  -1.12954518e+00]]"
26,"[1, 1, 1, 3, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.69735609  3.84097452  2.58291858  2.93444039  5.69177261 14.89291883
  -0.29861447  2.70853731  0.60069764]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [12.18517896  0.72925174 -2.53328175  6.06461496 -1.18341494 -2.26785195
  19.13183726  4.88390015 -1.13284425]]"
27,"[1, 1, 3, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.20955991  4.26490926  2.55142098  3.14688839  5.78449178 14.70493017
  -0.4548547   3.09336537  0.67245752]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [12.78821836  0.76270497 -2.58154322  6.09239872 -1.4366431  -2.19083773
  19.82723557  5.10215628 -1.13751764]]"
28,"[1, 1, 3, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [ 9.90246882  4.65406703  2.54155235  3.35871144  5.91973567 14.58411818
  -0.54651725  3.43265567  0.74346951]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [13.31283662  0.81231743 -2.63522874  6.12465517 -1.71796822 -2.1248608
  20.45273221  5.37413607 -1.14187434]]"
29,"[1, 1, 3, 1, 3, 3, 3, 1]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [11.3338802   5.01920906  2.76391051  3.6149031   6.3429506  15.98930137
  -0.32658167  3.73311941  0.81857812]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [11.86668661  0.86080174 -2.82957108  5.92909006 -2.46094941 -2.53507691
  19.68217804  5.68625419 -1.15175092]]"
30,"[1, 1, 1, 3, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.66076374  5.05962846  2.67393396  3.46178354  6.07828367 15.74205134
  -0.57700439  3.59957753  0.85237631]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [12.58198854  0.90268271 -2.86084504  6.36663048 -2.57570112 -2.44247262
  20.51381331  6.16737739 -1.15619853]]"
31,"[1, 1, 3, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.23250426  5.40210907  2.63956873  3.58633447  6.10104633 15.57897941
  -0.71953629  3.88034104  0.92143047]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [13.10282443  0.94617864 -2.91255471  6.33207614 -2.8643212  -2.37588747
  21.11302945  6.41580508 -1.16051495]]"
32,"[3, 1, 1, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [ 9.96125807  5.81707548  2.65713702  3.68909523  6.16375428 15.4752259
  -0.80735133  4.04795105  1.24456733]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [13.55668704  1.04898359 -2.96801671  6.2257006  -3.19975551 -2.31872583
  21.65267746  6.51992065 -1.11978726]]"
33,"[1, 1, 3, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [ 9.81665243  6.09035267  2.65555195  3.80342166  6.2441837  15.41789044
  -0.84930048  4.24522086  1.30951292]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [13.98458329  1.12063171 -3.0238532   6.2356058  -3.49871101 -2.26547866
  22.17421831  6.85281743 -1.12309755]]"
34,"[1, 1, 1, 3, 3, 3, 3, 1]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [11.21153516  6.17840356  2.84603146  3.76713014  6.41777267 16.81386815
  -0.66364215  4.13233202  1.36057827]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [12.48550219  1.13255666 -3.22673177  6.32371987 -4.26717162 -2.69033919
  21.4057577   7.3656254  -1.13717239]]"
35,"[1, 1, 3, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.67501739  6.40311385  2.7826616   3.75368441  6.28201298 16.61487923
  -0.8566258   4.28148054  1.41878713]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [13.09671165  1.19916497 -3.2616905   6.35109883 -4.44864948 -2.6105314
  22.07542455  7.64485454 -1.13874371]]"
36,"[1, 1, 3, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.33151121  6.66377002  2.74825312  3.78945318  6.23978473 16.48617597
  -0.97664911  4.46130445  1.48379963]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [13.55193728  1.24114724 -3.31394429  6.27324198 -4.75185467 -2.5522623
  22.59771556  7.88674833 -1.14301503]]"
37,"[1, 1, 3, 1, 3, 3, 3, 1]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [11.64404856  6.92468282  2.93709954  3.88882767  6.49611475 17.79084725
  -0.79116928  4.63046626  1.55462955]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [12.33081136  1.2667443  -3.47796024  5.95992214 -5.4605573  -2.87340553
  21.86399703  8.12622372 -1.15260984]]"
38,"[1, 1, 3, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [11.00937037  7.0264968   2.84743335  3.75090313  6.21709709 17.55920778
  -1.02967116  4.64586709  1.6001982 ]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [13.04863701  1.3610573  -3.49626375  6.08472307 -5.52586564 -2.77866041
  22.63006854  8.45075325 -1.15130777]]"
39,"[1, 1, 3, 1, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.61125753  7.22634852  2.79776791  3.71153216  6.08961829 17.4125771
  -1.17565801  4.75682544  1.65994723]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [13.56956069  1.40577025 -3.53711954  6.05374098 -5.75489417 -2.71104587
  23.20893517  8.67852573 -1.15437053]]"
40,"[1, 1, 1, 3, 3, 3, 1, 3]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.37338334  7.35551919  2.76817815  3.61585113  5.99043059 17.32546691
  -1.26626444  4.66576738  1.71800867]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [13.9452403   1.41281128 -3.59509242  6.21458314 -6.08118134 -2.66387267
  23.68669246  9.07442506 -1.16233971]]"
41,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.2479001   7.64788198  2.76199944  3.6678372   6.01615698 17.27751763
  -1.30757074  4.86488922  1.79187711]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [14.29023503  1.40919099 -3.65368656  6.05440294 -6.44077619 -2.62046016
  24.0975164   9.19981475 -1.16925269]]"
42,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.20288487  7.89314521  2.76293195  3.69843663  6.04038006 17.26010982
  -1.32182683  5.01126135  1.86144988]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [14.62593787  1.42438773 -3.71036611  5.94227081 -6.7771066  -2.57862115
  24.50539516  9.37361161 -1.17509227]]"
43,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1)]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [11.52391842  8.11365666  2.94624483  3.73797835  6.23952603 18.58032314
  -1.14224599  5.12590262  1.93202877]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [13.33516419  1.43475984 -3.88412937  5.64616159 -7.4918573  -2.93380139
  23.77208635  9.56848464 -1.18567182]]"
44,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [11.09792344  8.18927151  2.87928781  3.57914436  5.99035052 18.42704173
  -1.3082937   5.09980821  1.97967888]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [13.91740851  1.50064053 -3.91043362  5.70416363 -7.61834932 -2.85754369
  24.405358    9.82669994 -1.18633162]]"
45,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.85153703  8.34269711  2.84304218  3.49813751  5.85910162 18.33821163
  -1.40385536  5.15042132  2.03826537]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [14.35306445  1.52735063 -3.95315989  5.65020406 -7.86366143 -2.80153432
  24.90027134 10.0060986  -1.19031871]]"
