Episode,Action Sequence,Total Reward,Steps Taken,Weights
11,"[3, 3, 0, 2, 3, 3, 0, 3, 2, 3, 0, 1, 0, 3, 2, 2, 1, 0, 3, 3, 1, 1, 1, 1]",-14,24,"[[[-2.49691166 -1.40005739 -2.57275966 -1.42676802]
  [-1.28520523 -1.15344582 -1.42769625 -1.13756875]
  [-0.95675196 -0.73658714 -1.4249625  -1.08855316]
  [-0.71488256 -0.5354025  -1.40775    -0.62082384]
  [-0.59835292 -2.00373806 -1.3875     -0.29775   ]]

 [[-2.00803688 -1.1626855  -1.18849819 -1.15584463]
  [-1.11173876 -0.97931723 -1.39651977 -1.0241911 ]
  [-0.90617912 -0.78345398 -0.99511352 -0.86362546]
  [-0.77732225 -0.29775    -0.60649012 -0.692668  ]
  [-0.15       -0.75       -0.31769625  0.11654886]]

 [[-2.08825869 -0.84571723 -1.09683379 -0.92833581]
  [-0.6387544  -0.85598819 -0.91857686 -0.92428805]
  [-0.48060112 -0.83876439 -0.69332422 -0.93056405]
  [-0.68936664  0.27265488 -0.53008687 -0.47895562]
  [-0.15        0.         -0.15        5.52938191]]

 [[-2.07542116 -0.75382965 -0.90368072 -1.05042573]
  [-0.91855429 -0.62560031 -0.87945292 -0.6632376 ]
  [-0.74518478 -0.44793009 -0.75592244 -0.49358625]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       16.98557279]]

 [[-2.00128528 -0.74902317 -0.94093162 -2.07320492]
  [-0.47230618 -0.37520728 -0.70779772 -1.40775   ]
  [-0.15        1.90787719 -0.332175   -1.3875    ]
  [ 0.         11.94984375 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
12,"[1, 1, 1, 3, 1, 3, 3, 3]",18,8,"[[[-2.49691166 -1.49362056 -2.57275966 -1.42676802]
  [-1.28520523 -1.22986821 -1.42769625 -1.13756875]
  [-0.95675196 -0.84837841 -1.4249625  -1.08855316]
  [-0.71488256 -0.5354025  -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.29775   ]]

 [[-2.00803688 -1.1626855  -1.18849819 -1.15584463]
  [-1.11173876 -0.97931723 -1.39651977 -1.0241911 ]
  [-0.90617912 -0.78345398 -0.99511352 -0.86362546]
  [-0.77732225 -0.3873534  -0.60649012 -0.692668  ]
  [-0.15       -0.75       -0.31769625  0.69553309]]

 [[-2.08825869 -0.84571723 -1.09683379 -0.92833581]
  [-0.6387544  -0.85598819 -0.91857686 -0.92428805]
  [-0.48060112 -0.83876439 -0.69332422 -0.93056405]
  [-0.68936664  0.27265488 -0.53008687 -0.47895562]
  [-0.15        0.         -0.15        6.84302695]]

 [[-2.07542116 -0.75382965 -0.90368072 -1.05042573]
  [-0.91855429 -0.62560031 -0.87945292 -0.6632376 ]
  [-0.74518478 -0.44793009 -0.75592244 -0.49358625]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       18.18773687]]

 [[-2.00128528 -0.74902317 -0.94093162 -2.07320492]
  [-0.47230618 -0.37520728 -0.70779772 -1.40775   ]
  [-0.15        1.90787719 -0.332175   -1.3875    ]
  [ 0.         11.94984375 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
13,"[2, 3, 2, 1, 1, 1, 0, 0, 3, 1, 1, 3, 2, 1, 1, 3, 3, 3]",0,18,"[[[-2.49691166 -1.57314926 -3.12945939 -1.51879184]
  [-1.28520523 -1.30991907 -1.42769625 -1.24914126]
  [-1.11681095 -0.94340098 -1.4249625  -1.08855316]
  [-0.88500931 -0.5354025  -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.29775   ]]

 [[-2.00803688 -1.1626855  -1.36186223 -1.15584463]
  [-1.11173876 -1.08818593 -1.39651977 -1.0241911 ]
  [-0.90617912 -0.86822859 -0.99511352 -0.86362546]
  [-0.77732225 -0.38535343 -0.60649012 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  1.36501177]]

 [[-2.08825869 -0.84571723 -1.09683379 -0.92833581]
  [-0.6387544  -0.85598819 -0.91857686 -0.92428805]
  [-0.48060112 -0.83876439 -0.69332422 -0.93056405]
  [-0.68936664  0.27265488 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15        8.12191738]]

 [[-2.07542116 -0.75382965 -0.90368072 -1.05042573]
  [-0.91855429 -0.62560031 -0.87945292 -0.6632376 ]
  [-0.74518478 -0.44793009 -0.75592244 -0.49358625]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       19.20957634]]

 [[-2.00128528 -0.74902317 -0.94093162 -2.07320492]
  [-0.47230618 -0.37520728 -0.70779772 -1.40775   ]
  [-0.15        1.90787719 -0.332175   -1.3875    ]
  [ 0.         11.94984375 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
14,"[3, 2, 3, 3, 3, 2, 3, 3, 2, 1, 1, 3, 1, 1]",12,14,"[[[-2.49691166 -1.57314926 -3.12945939 -1.6634993 ]
  [-1.28520523 -1.30991907 -1.42769625 -1.24914126]
  [-1.11681095 -0.94340098 -1.4249625  -1.08855316]
  [-0.88500931 -0.5354025  -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.29775   ]]

 [[-2.00803688 -1.1626855  -1.51995805 -1.24663976]
  [-1.11173876 -1.08818593 -1.39651977 -1.0241911 ]
  [-0.90617912 -0.86822859 -0.99511352 -0.86362546]
  [-0.77732225 -0.38535343 -0.60649012 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  1.36501177]]

 [[-2.08825869 -0.84571723 -1.09683379 -1.13649157]
  [-0.6387544  -0.85598819 -0.91857686 -0.92428805]
  [-0.48060112 -0.83876439 -0.69332422 -0.93056405]
  [-0.68936664  0.27265488 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15        8.12191738]]

 [[-2.07542116 -0.87521124 -1.03230044 -1.14398   ]
  [-0.91855429 -0.74223083 -0.87945292 -0.6632376 ]
  [-0.74518478 -0.44793009 -0.75592244 -0.31198489]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       19.20957634]]

 [[-2.00128528 -0.74902317 -1.05155888 -2.07320492]
  [-0.47230618 -0.37520728 -0.70779772 -1.40775   ]
  [-0.15        3.08492452 -0.332175   -1.3875    ]
  [ 0.         13.90736719 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
15,"[1, 0, 3, 1, 1, 3, 2, 2, 1, 1, 3, 3, 3, 3]",12,14,"[[[-2.49691166 -1.65581094 -3.12945939 -1.72093695]
  [-1.46595892 -1.30991907 -1.42769625 -1.24914126]
  [-1.11681095 -1.02417017 -1.4249625  -1.08855316]
  [-0.88500931 -0.64528838 -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.21881091]]

 [[-2.00803688 -1.27654847 -1.51995805 -1.24663976]
  [-1.11173876 -1.19154748 -1.39651977 -1.0241911 ]
  [-0.90617912 -0.86822859 -1.12320562 -0.9489628 ]
  [-0.77732225 -0.38535343 -0.60649012 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  2.10671885]]

 [[-2.08825869 -0.84571723 -1.09683379 -1.13649157]
  [-0.6387544  -0.85598819 -0.91857686 -0.92428805]
  [-0.48060112 -0.83876439 -0.85653645 -0.93056405]
  [-0.68936664  0.27265488 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15        9.34692258]]

 [[-2.07542116 -0.87521124 -1.03230044 -1.14398   ]
  [-0.91855429 -0.74223083 -0.87945292 -0.6632376 ]
  [-0.74518478 -0.44793009 -0.75592244 -0.31198489]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       20.07813989]]

 [[-2.00128528 -0.74902317 -1.05155888 -2.07320492]
  [-0.47230618 -0.37520728 -0.70779772 -1.40775   ]
  [-0.15        3.08492452 -0.332175   -1.3875    ]
  [ 0.         13.90736719 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
16,"[3, 3, 3, 1, 3, 1, 1, 1]",18,8,"[[[-2.49691166 -1.65581094 -3.12945939 -1.78109277]
  [-1.46595892 -1.30991907 -1.42769625 -1.24914126]
  [-1.11681095 -1.02417017 -1.4249625  -1.08855316]
  [-0.88500931 -0.64528838 -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.21881091]]

 [[-2.00803688 -1.27654847 -1.51995805 -1.32381562]
  [-1.11173876 -1.19154748 -1.39651977 -1.0241911 ]
  [-0.90617912 -0.86822859 -1.12320562 -0.9489628 ]
  [-0.77732225 -0.38535343 -0.60649012 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  2.10671885]]

 [[-2.08825869 -0.84571723 -1.09683379 -1.23417136]
  [-0.6387544  -0.85598819 -0.91857686 -0.92428805]
  [-0.48060112 -0.83876439 -0.85653645 -0.93056405]
  [-0.68936664  0.27265488 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15        9.34692258]]

 [[-2.07542116 -0.98346663 -1.03230044 -1.14398   ]
  [-0.91855429 -0.74223083 -0.87945292 -0.76440494]
  [-0.74518478 -0.44793009 -0.75592244 -0.31198489]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       20.07813989]]

 [[-2.00128528 -0.74902317 -1.05155888 -2.07320492]
  [-0.47230618 -0.05246138 -0.70779772 -1.40775   ]
  [-0.15        4.34968041 -0.332175   -1.3875    ]
  [ 0.         15.57126211 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
17,"[3, 3, 1, 1, 3, 3, 1, 1]",18,8,"[[[-2.49691166 -1.65581094 -3.12945939 -1.8362629 ]
  [-1.46595892 -1.30991907 -1.42769625 -1.24914126]
  [-1.11681095 -1.02417017 -1.4249625  -1.08855316]
  [-0.88500931 -0.64528838 -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.21881091]]

 [[-2.00803688 -1.27654847 -1.51995805 -1.38941511]
  [-1.11173876 -1.19154748 -1.39651977 -1.0241911 ]
  [-0.90617912 -0.86822859 -1.12320562 -0.9489628 ]
  [-0.77732225 -0.38535343 -0.60649012 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  2.10671885]]

 [[-2.08825869 -0.95509149 -1.09683379 -1.23417136]
  [-0.6387544  -0.94247111 -0.91857686 -0.92428805]
  [-0.48060112 -0.83876439 -0.85653645 -0.9830974 ]
  [-0.68936664  0.27265488 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15        9.34692258]]

 [[-2.07542116 -0.98346663 -1.03230044 -1.14398   ]
  [-0.91855429 -0.74223083 -0.87945292 -0.76440494]
  [-0.74518478 -0.44793009 -0.75592244  0.1720197 ]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       20.07813989]]

 [[-2.00128528 -0.74902317 -1.05155888 -2.07320492]
  [-0.47230618 -0.05246138 -0.70779772 -1.40775   ]
  [-0.15        5.64934873 -0.332175   -1.3875    ]
  [ 0.         16.98557279 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
18,"[1, 3, 2, 0, 3, 1, 1, 3, 3, 3, 1, 1]",14,12,"[[[-2.49691166 -1.72607337 -3.12945939 -1.88315751]
  [-1.62908499 -1.30991907 -1.42769625 -1.35003587]
  [-1.11681095 -1.02417017 -1.4249625  -1.08855316]
  [-0.88500931 -0.64528838 -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.21881091]]

 [[-2.00803688 -1.373332   -1.51995805 -1.38941511]
  [-1.11173876 -1.28002622 -1.51388088 -1.0241911 ]
  [-0.90617912 -0.86822859 -1.12320562 -1.02149953]
  [-0.77732225 -0.38535343 -0.60649012 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  2.10671885]]

 [[-2.08825869 -0.95509149 -1.09683379 -1.23417136]
  [-0.6387544  -0.94247111 -0.91857686 -0.92428805]
  [-0.48060112 -0.83876439 -0.85653645 -0.96241013]
  [-0.68936664  0.27265488 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15        9.34692258]]

 [[-2.07542116 -0.98346663 -1.03230044 -1.14398   ]
  [-0.91855429 -0.74223083 -0.87945292 -0.76440494]
  [-0.74518478 -0.44793009 -0.75592244  0.75887882]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       20.07813989]]

 [[-2.00128528 -0.74902317 -1.05155888 -2.07320492]
  [-0.47230618 -0.05246138 -0.70779772 -1.40775   ]
  [-0.15        6.94499875 -0.332175   -1.3875    ]
  [ 0.         18.18773687 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
19,"[1, 3, 0, 1, 0, 0, 2, 1, 2, 2, 3, 2, 0, 3, 3, 2, 3, 2, 3, 1, 2, 3, 2, 2, 1, 2, 1, 0, 3, 1, 0, 0, 0, 3, 1, 1, 0, 1, 3, 3, 1, 1]",-32,42,"[[[-2.49691166 -1.8517403  -3.12945939 -1.93825492]
  [-1.78470718 -1.40169418 -2.74616283 -1.50869265]
  [-1.11681095 -1.10765858 -2.0994811  -1.19248105]
  [-1.04921259 -0.64528838 -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.21881091]]

 [[-2.64440239 -1.455598   -1.68415453 -1.6267028 ]
  [-1.55851405 -1.28002622 -1.69843122 -1.10679428]
  [-1.06966948 -0.94001701 -1.12320562 -1.02149953]
  [-0.93305809 -0.38535343 -0.60649012 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  2.10671885]]

 [[-2.08825869 -1.12708251 -1.43349801 -1.23417136]
  [-0.6387544  -1.10062463 -1.20811493 -0.92428805]
  [-0.6447428  -0.83876439 -0.85653645 -0.86559997]
  [-0.68936664  0.27265488 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15        9.34692258]]

 [[-2.07542116 -0.98346663 -1.03230044 -1.14398   ]
  [-0.91855429 -0.74223083 -0.87945292 -0.76440494]
  [-0.74518478 -0.44793009 -0.75592244  1.43262183]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       20.07813989]]

 [[-2.00128528 -0.74902317 -1.05155888 -2.07320492]
  [-0.47230618 -0.05246138 -0.70779772 -1.40775   ]
  [-0.15        8.20859341 -0.332175   -1.3875    ]
  [ 0.         19.20957634 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
20,"[1, 3, 0, 3, 1, 3, 1, 3, 1, 1]",16,10,"[[[-2.49691166 -1.91320797 -3.12945939 -1.93825492]
  [-1.78470718 -1.40169418 -2.74616283 -1.58180598]
  [-1.11681095 -1.10765858 -2.0994811  -1.19248105]
  [-1.04921259 -0.64528838 -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.21881091]]

 [[-2.64440239 -1.455598   -1.68415453 -1.68485352]
  [-1.67124267 -1.28002622 -1.69843122 -1.10679428]
  [-1.06966948 -0.94001701 -1.12320562 -1.02149953]
  [-0.93305809 -0.38535343 -0.60649012 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  2.10671885]]

 [[-2.08825869 -1.19425198 -1.43349801 -1.23417136]
  [-0.6387544  -1.10062463 -1.20811493 -1.03584601]
  [-0.6447428  -0.83876439 -0.85653645 -0.86559997]
  [-0.68936664  0.27265488 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15        9.34692258]]

 [[-2.07542116 -0.98346663 -1.03230044 -1.14398   ]
  [-0.91855429 -0.58749226 -0.87945292 -0.76440494]
  [-0.74518478 -0.44793009 -0.75592244  2.17588867]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       20.07813989]]

 [[-2.00128528 -0.74902317 -1.05155888 -2.07320492]
  [-0.47230618 -0.05246138 -0.70779772 -1.40775   ]
  [-0.15        9.42059721 -0.332175   -1.3875    ]
  [ 0.         20.07813989 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
21,"[1, 3, 3, 0, 1, 0, 3, 3, 1, 1, 1, 1]",14,12,"[[[-2.49691166 -1.96545548 -3.12945939 -1.93825492]
  [-1.78470718 -1.40169418 -2.74616283 -1.64395231]
  [-1.11681095 -1.10765858 -2.0994811  -1.19248105]
  [-1.04921259 -0.64528838 -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.21881091]]

 [[-2.64440239 -1.455598   -1.68415453 -1.68485352]
  [-1.67124267 -1.28002622 -1.69843122 -1.17700698]
  [-1.06966948 -0.94001701 -1.12320562 -1.02149953]
  [-0.93305809 -0.38535343 -0.60649012 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  2.10671885]]

 [[-2.08825869 -1.28042649 -1.43349801 -1.33181365]
  [-1.0426536  -1.10062463 -1.20811493 -1.03584601]
  [-0.6447428  -0.83876439 -0.85653645 -0.86559997]
  [-0.68936664  0.27265488 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15        9.34692258]]

 [[-2.07542116 -0.98346663 -1.03230044 -1.22350113]
  [-0.91855429 -0.58749226 -0.87945292 -0.76440494]
  [-0.74518478 -0.44793009 -0.75592244  2.17588867]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       20.07813989]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  1.07718845 -0.70779772 -1.40775   ]
  [-0.15       10.56805651 -0.332175   -1.3875    ]
  [ 0.         20.81641891 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
22,"[0, 3, 3, 1, 3, 3, 1, 1, 1]",13,9,"[[[-3.13403932 -1.96545548 -3.12945939 -1.99402241]
  [-1.78470718 -1.40169418 -2.74616283 -1.64395231]
  [-1.11681095 -1.10765858 -2.0994811  -1.19248105]
  [-1.04921259 -0.64528838 -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.21881091]]

 [[-2.64440239 -1.455598   -1.68415453 -1.75498307]
  [-1.67124267 -1.28002622 -1.69843122 -1.17700698]
  [-1.06966948 -0.94001701 -1.12320562 -1.02149953]
  [-0.93305809 -0.38535343 -0.60649012 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  2.10671885]]

 [[-2.08825869 -1.37820173 -1.43349801 -1.33181365]
  [-1.0426536  -1.10062463 -1.20811493 -1.10978056]
  [-0.6447428  -0.83876439 -0.85653645 -0.86559997]
  [-0.68936664  0.27265488 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15        9.34692258]]

 [[-2.07542116 -0.98346663 -1.03230044 -1.22350113]
  [-0.91855429 -0.58749226 -0.87945292 -0.65432376]
  [-0.74518478 -0.44793009 -0.75592244  2.17588867]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       20.07813989]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  2.19229781 -0.70779772 -1.40775   ]
  [-0.15       11.64306459 -0.332175   -1.3875    ]
  [ 0.         21.44395607 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
23,"[3, 3, 1, 1, 1, 1, 3, 3]",18,8,"[[[-3.13403932 -1.96545548 -3.12945939 -2.04142478]
  [-1.78470718 -1.40169418 -2.74616283 -1.64395231]
  [-1.11681095 -1.10765858 -2.0994811  -1.19248105]
  [-1.04921259 -0.64528838 -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.21881091]]

 [[-2.64440239 -1.455598   -1.68415453 -1.82153045]
  [-1.67124267 -1.28002622 -1.69843122 -1.17700698]
  [-1.06966948 -0.94001701 -1.12320562 -1.02149953]
  [-0.93305809 -0.38535343 -0.60649012 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  2.10671885]]

 [[-2.08825869 -1.46222971 -1.43349801 -1.33181365]
  [-1.0426536  -1.17257122 -1.20811493 -1.10978056]
  [-0.6447428  -0.82614133 -0.85653645 -0.86559997]
  [-0.68936664  1.3435912  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       10.50543308]]

 [[-2.07542116 -0.98346663 -1.03230044 -1.22350113]
  [-0.91855429 -0.58749226 -0.87945292 -0.65432376]
  [-0.74518478 -0.44793009 -0.75592244  2.17588867]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       20.81641891]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  2.19229781 -0.70779772 -1.40775   ]
  [-0.15       11.64306459 -0.332175   -1.3875    ]
  [ 0.         21.44395607 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
24,"[3, 3, 3, 2, 2, 1, 1, 2, 3, 1, 2, 1, 3, 3, 3, 3]",10,16,"[[[-3.13403932 -1.96545548 -3.12945939 -2.08171679]
  [-1.78470718 -1.40169418 -2.74616283 -1.64395231]
  [-1.11681095 -1.10765858 -2.0994811  -1.29051119]
  [-1.04921259 -0.72803459 -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.05158223]]

 [[-2.64440239 -1.54615424 -1.68415453 -1.87809573]
  [-1.67124267 -1.36492458 -1.69843122 -1.17700698]
  [-1.06966948 -1.00103717 -1.25425869 -1.02149953]
  [-0.93305809 -0.38535343 -0.75263054 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  3.05894449]]

 [[-2.08825869 -1.46222971 -1.56497904 -1.4148096 ]
  [-1.0426536  -1.17257122 -1.20811493 -1.10978056]
  [-0.6447428  -0.82614133 -0.85653645 -0.86559997]
  [-0.68936664  1.3435912  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       11.58983467]]

 [[-2.07542116 -0.98346663 -1.21845467 -1.22350113]
  [-0.91855429 -0.58749226 -0.87945292 -0.65432376]
  [-0.74518478 -0.44793009 -0.75592244  2.17588867]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       21.44395607]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  2.19229781 -0.70779772 -1.40775   ]
  [-0.15       11.64306459 -0.332175   -1.3875    ]
  [ 0.         21.44395607 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
25,"[2, 1, 3, 0, 1, 1, 1, 1, 3, 3, 3]",11,11,"[[[-3.13403932 -2.00986588 -3.67537697 -2.08171679]
  [-1.78470718 -1.40169418 -2.74616283 -1.7062554 ]
  [-1.11681095 -1.10765858 -2.0994811  -1.29051119]
  [-1.04921259 -0.72803459 -1.40775    -0.71789652]
  [-0.59835292 -2.00373806 -1.3875     -0.05158223]]

 [[-2.64440239 -1.62312705 -1.68415453 -1.87809573]
  [-1.7792871  -1.44532591 -1.69843122 -1.17700698]
  [-1.06966948 -1.05290431 -1.25425869 -1.02149953]
  [-0.93305809 -0.06459291 -0.75263054 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  4.01473049]]

 [[-2.08825869 -1.46222971 -1.56497904 -1.4148096 ]
  [-1.0426536  -1.17257122 -1.20811493 -1.10978056]
  [-0.6447428  -0.82614133 -0.85653645 -0.86559997]
  [-0.68936664  1.3435912  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       12.59629354]]

 [[-2.07542116 -0.98346663 -1.21845467 -1.22350113]
  [-0.91855429 -0.58749226 -0.87945292 -0.65432376]
  [-0.74518478 -0.44793009 -0.75592244  2.17588867]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       21.97736266]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  2.19229781 -0.70779772 -1.40775   ]
  [-0.15       11.64306459 -0.332175   -1.3875    ]
  [ 0.         21.44395607 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
26,"[3, 1, 0, 2, 1, 0, 1, 1, 3, 0, 2, 0, 2, 3, 1, 2, 1, 1, 3, 1, 3, 3, 3]",-1,23,"[[[-3.13403932 -2.07970122 -4.15483009 -2.19574899]
  [-2.08267439 -1.56686177 -2.74616283 -1.7062554 ]
  [-1.11681095 -1.18842582 -2.0994811  -1.38483694]
  [-1.04921259 -0.72803459 -1.40775    -0.76893208]
  [-0.59835292 -2.00373806 -1.3875     -0.05158223]]

 [[-2.64440239 -1.74416679 -1.85286325 -1.87809573]
  [-1.88975489 -1.44532591 -1.8769873  -1.17700698]
  [-1.218115   -1.05290431 -1.25425869 -1.02149953]
  [-0.93305809  0.33708465 -0.75263054 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  4.96302055]]

 [[-2.08825869 -1.46222971 -1.56497904 -1.4148096 ]
  [-1.0426536  -1.17257122 -1.20811493 -1.10978056]
  [-0.6447428  -0.82614133 -0.85653645 -0.86559997]
  [-0.68936664  1.3435912  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       13.52379347]]

 [[-2.07542116 -0.98346663 -1.21845467 -1.22350113]
  [-0.91855429 -0.58749226 -0.87945292 -0.65432376]
  [-0.74518478 -0.44793009 -0.75592244  2.17588867]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       22.43075826]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  2.19229781 -0.70779772 -1.40775   ]
  [-0.15       11.64306459 -0.332175   -1.3875    ]
  [ 0.         21.44395607 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
27,"[3, 3, 1, 1, 2, 0, 3, 3, 3, 1, 1, 1]",14,12,"[[[-3.13403932 -2.07970122 -4.15483009 -2.25184916]
  [-2.08267439 -1.56686177 -2.74616283 -1.7062554 ]
  [-1.11681095 -1.18842582 -2.0994811  -1.38483694]
  [-1.04921259 -0.72803459 -1.40775    -0.76893208]
  [-0.59835292 -2.00373806 -1.3875     -0.05158223]]

 [[-2.64440239 -1.74416679 -1.85286325 -1.93738066]
  [-1.88975489 -1.44532591 -1.8769873  -1.29121417]
  [-1.3442937  -1.05290431 -1.25425869 -1.02149953]
  [-0.93305809  0.33708465 -0.75263054 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  4.96302055]]

 [[-2.08825869 -1.53365349 -1.56497904 -1.4148096 ]
  [-1.0426536  -1.23372581 -1.20811493 -1.17262493]
  [-0.6447428  -0.82614133 -1.01595842 -0.86559997]
  [-0.68936664  1.3435912  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       13.52379347]]

 [[-2.07542116 -0.98346663 -1.21845467 -1.22350113]
  [-0.91855429 -0.58749226 -0.87945292 -0.41021499]
  [-0.74518478 -0.44793009 -0.75592244  2.17588867]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       22.43075826]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  3.28526686 -0.70779772 -1.40775   ]
  [-0.15       12.64153897 -0.332175   -1.3875    ]
  [ 0.         21.97736266 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
