Episode,Action Sequence,Total Reward,Steps Taken,Weights
42,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.37720828 -1.32884347
 -0.95948977 -0.37979223 40.42864539 11.64551114  6.36207363 12.75095305
 19.74639698 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.59498347  3.82117727  8.48127953 13.4872069  -2.00154228 -1.53687469
 27.67606688 -1.15129579 -1.18853992 -0.60621853]"
43,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.42974662 -1.32884347
 -0.95948977 -0.37979223 40.43274505 11.69804949  6.37271157 12.74748444
 19.74332732 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.55501803  3.82723293  8.46402921 13.47514728 -2.00154228 -1.53687469
 27.69277806 -1.15129579 -1.18853992 -0.60621853]"
44,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.47417481 -1.32884347
 -0.95948977 -0.37979223 40.43522523 11.74247768  6.38122406 12.7440921
 19.74068735 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.52048055  3.8298822   8.44762024 13.46557846 -2.00154228 -1.53687469
 27.70398701 -1.15129579 -1.18853992 -0.60621853]"
45,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.51145031 -1.32884347
 -0.95948977 -0.37979223 40.43645845 11.77975318  6.3879645  12.74084159
 19.73843063 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.49093417  3.8298256   8.43232814 13.45823464 -2.00154228 -1.53687469
 27.71084087 -1.15129579 -1.18853992 -0.60621853]"
46,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.54245719 -1.32884347
 -0.95948977 -0.37979223 40.43674896 11.81076006  6.39323657 12.73777753
 19.73651315 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.4659302   3.82767839  8.41833514 13.45284085 -2.00154228 -1.53687469
 27.71431083 -1.15129579 -1.18853992 -0.60621853]"
47,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.56800599 -1.32884347
 -0.95948977 -0.37979223 40.43634337 11.83630885  6.39729981 12.73492799
 19.73489384 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.44501875  3.82397354  8.40574562 13.44912358 -2.00154228 -1.53687469
 27.71521064 -1.15129579 -1.18853992 -0.60621853]"
48,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.58883467 -1.32884347
 -0.95948977 -0.37979223 40.43543977 11.85713753  6.40037497 12.73230818
 19.73353489 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.42775767  3.81916609  8.3946005  13.446819   -2.00154228 -1.53687469
 27.71421457 -1.15129579 -1.18853992 -0.60621853]"
49,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.60561052 -1.32884347
 -0.95948977 -0.37979223 40.43419575 11.87391338  6.40264873 12.72992346
 19.73240183 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.41371982  3.81363846  8.38489011 13.44567898 -2.00154228 -1.53687469
 27.71187439 -1.15129579 -1.18853992 -0.60621853]"
50,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.6189328  -1.32884347
 -0.95948977 -0.37979223 40.43273525 11.88723567  6.40427815 12.72777181
 19.73146356 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.40249877  3.80770642  8.37656581 13.44547527 -2.00154228 -1.53687469
 27.70863539 -1.15129579 -1.18853992 -0.60621853]"
51,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.62933597 -1.32884347
 -0.95948977 -0.37979223 40.43115442 11.89763884  6.4053946  12.72584585
 19.73069225 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.39371312  3.80162553  8.36955    13.44600214 -2.00154228 -1.53687469
 27.7048512  -1.15129579 -1.18853992 -0.60621853]"
52,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.63729339 -1.32884347
 -0.95948977 -0.37979223 40.4295266  11.90559626  6.40610728 12.72413442
 19.73006318 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.38700947  3.79559763  8.36374488 13.44707766 -2.00154228 -1.53687469
 27.70079735 -1.15129579 -1.18853992 -0.60621853]"
53,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.64322131 -1.32884347
 -0.95948977 -0.37979223 40.42790664 11.91152418  6.40650644 12.7226239
 19.72955458 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.38206433  3.7897774   8.3590398  13.44854401 -2.00154228 -1.53687469
 27.69668354 -1.15129579 -1.18853992 -0.60621853]"
54,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.64748308 -1.32884347
 -0.95948977 -0.37979223 40.42633439 11.91578595  6.4066661  12.72129919
 19.72914738 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.37858498  3.78427872  8.35531731 13.45026692 -2.00154228 -1.53687469
 27.69266462 -1.15129579 -1.18853992 -0.60621853]"
55,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.65039348 -1.32884347
 -0.95948977 -0.37979223 40.42483774 11.91869634  6.40664656 12.72014448
 19.72882498 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.37630958  3.77918065  8.35245812 13.45213453 -2.00154228 -1.53687469
 27.68885037 -1.15129579 -1.18853992 -0.60621853]"
56,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.65222301 -1.32884347
 -0.95948977 -0.37979223 40.42343513 11.92052588  6.40649651 12.71914387
 19.72857303 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.37500651  3.7745331   8.35034497 13.45405582 -2.00154228 -1.53687469
 27.68531403 -1.15129579 -1.18853992 -0.60621853]"
57,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.65320219 -1.32884347
 -0.95948977 -0.37979223 40.42213761 11.92150506  6.40625493 12.71828174
 19.72837921 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.37447328  3.770362    8.34886562 13.4559587  -2.00154228 -1.53687469
 27.68209969 -1.15129579 -1.18853992 -0.60621853]"
58,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.65352567 -1.32884347
 -0.95948977 -0.37979223 40.42095052 11.92182854  6.40595266 12.71754315
 19.72823299 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.37453491  3.76667398  8.34791495 13.45778798 -2.00154228 -1.53687469
 27.67922866 -1.15129579 -1.18853992 -0.60621853]"
59,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.6533562  -1.32884347
 -0.95948977 -0.37979223 40.41987491 11.92165906  6.40561383 12.71691395
 19.72812541 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.37504212  3.76346058  8.34739646 13.45950328 -2.00154228 -1.53687469
 27.67670486 -1.15129579 -1.18853992 -0.60621853]"
60,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.65282838 -1.32884347
 -0.95948977 -0.37979223 40.41890868 11.92113124  6.40525701 12.71638102
 19.72804893 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.37586919  3.76070185  8.34722315 13.4610769  -2.00154228 -1.53687469
 27.67451937 -1.15129579 -1.18853992 -0.60621853]"
