Episode,Action Sequence,Total Reward,Steps Taken,Weights
11,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  0.94017669 -1.32884347
 -0.95948977 -0.37979223 27.7848661   1.20847956  0.35473752  7.7240758
 18.13683106 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.28575599 -1.11629221  2.01819527  8.58615597 -2.00154228 -1.53687469
  9.68368969 -1.15129579 -1.18853992 -0.60621853]"
12,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  1.4665993  -1.32884347
 -0.95948977 -0.37979223 29.33541581  1.73490217  0.77750413  8.44082213
 18.54786782 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.38884738 -0.97010099  2.57869519  9.40398565 -2.00154228 -1.53687469
 11.10511911 -1.15129579 -1.18853992 -0.60621853]"
13,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  2.01307077 -1.32884347
 -0.95948977 -0.37979223 30.73668789  2.28137363  1.21035826  9.08213692
 18.87497098 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.4780607  -0.79170058  3.14351438 10.14476318 -2.00154228 -1.53687469
 12.49990294 -1.15129579 -1.18853992 -0.60621853]"
14,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  2.57185281 -1.32884347
 -0.95948977 -0.37979223 31.99652543  2.84015567  1.64384269  9.65038488
 19.13307614 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.55072971 -0.58497956  3.70202093 10.80703071 -2.00154228 -1.53687469
 13.85472902 -1.15129579 -1.18853992 -0.60621853]"
15,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  3.13609144 -1.32884347
 -0.95948977 -0.37979223 33.12350626  3.40439431  2.07012036 10.14945038
 19.3347138  -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.60491343 -0.35446798  4.24520108 11.39129025 -2.00154228 -1.53687469
 15.15849657 -1.15129579 -1.18853992 -0.60621853]"
16,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  3.6997523  -1.32884347
 -0.95948977 -0.37979223 34.12669005  3.96805517  2.48292552 10.58417451
 19.4903683  -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.63940704 -0.10505568  4.76564387 11.8996576  -2.00154228 -1.53687469
 16.4022254  -1.15129579 -1.18853992 -0.60621853]"
17,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  4.25756166 -1.32884347
 -0.95948977 -0.37979223 35.01538708  4.52586453  2.8774499  10.95992984
 19.60878562 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.65371189  0.15824579  5.25748274 12.33554793 -2.00154228 -1.53687469
 17.57895122 -1.15129579 -1.18853992 -0.60621853]"
18,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  4.80495504 -1.32884347
 -0.95948977 -0.37979223 35.79895566  5.07325791  3.25019214 11.28230448
 19.69723732 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.64797619  0.43049878  5.7163052  12.70338437 -2.00154228 -1.53687469
 18.68359882 -1.15129579 -1.18853992 -0.60621853]"
19,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  5.33803215 -1.32884347
 -0.95948977 -0.37979223 36.48663136  5.60633502  3.59879009 11.55687255
 19.76174701 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.62291641  0.70699529  6.13903898 13.00832834 -2.00154228 -1.53687469
 19.71283285 -1.15129579 -1.18853992 -0.60621853]"
20,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  5.8535158  -1.32884347
 -0.95948977 -0.37979223 37.08738806  6.12181866  3.9218499  11.78903214
 19.8072843  -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.57972708  0.98337593  6.52382142 13.25603319 -2.00154228 -1.53687469
 20.66489011 -1.15129579 -1.18853992 -0.60621853]"
